contador; dataExecucaoComando01; timeStampExecucaoComando01; consumoCPU01; consumoCPU02; dataExecucaoComando02; timeStampExecucaoComando02; consumoMemoriaRAM; consumoSWAP
1;2025-02-10 19:54:02.093001;1739217242.093001;0.3;0.0;2025-02-10 19:54:02.249283;1739217242.249283;131680;0
2;2025-02-10 19:54:02.251796;1739217242.251796;0.3;0.0;2025-02-10 19:54:02.408966;1739217242.408966;131636;0
3;2025-02-10 19:54:02.411262;1739217242.411262;0.3;0.0;2025-02-10 19:54:02.568314;1739217242.568314;131692;0
4;2025-02-10 19:54:02.570720;1739217242.57072;0.3;0.0;2025-02-10 19:54:02.728073;1739217242.728073;131672;0
5;2025-02-10 19:54:02.731783;1739217242.731783;0.3;0.0;2025-02-10 19:54:02.888955;1739217242.888955;131740;0
6;2025-02-10 19:54:02.891523;1739217242.891523;0.3;0.0;2025-02-10 19:54:03.048114;1739217243.048114;131676;0
7;2025-02-10 19:54:03.050504;1739217243.050504;0.3;0.0;2025-02-10 19:54:03.207523;1739217243.207523;131676;0
8;2025-02-10 19:54:03.210591;1739217243.210591;0.3;0.0;2025-02-10 19:54:03.369292;1739217243.369292;131676;0
9;2025-02-10 19:54:03.371888;1739217243.371888;0.3;0.0;2025-02-10 19:54:03.529629;1739217243.529629;131668;0
10;2025-02-10 19:54:03.532397;1739217243.532397;0.3;0.0;2025-02-10 19:54:03.690299;1739217243.690299;131648;0
11;2025-02-10 19:54:03.694488;1739217243.694488;0.3;0.0;2025-02-10 19:54:03.854805;1739217243.854805;131548;0
12;2025-02-10 19:54:03.859567;1739217243.859567;0.3;0.0;2025-02-10 19:54:04.019601;1739217244.019601;131568;0
13;2025-02-10 19:54:04.024862;1739217244.024862;0.3;0.0;2025-02-10 19:54:04.186774;1739217244.186774;131584;0
14;2025-02-10 19:54:04.196173;1739217244.196173;0.3;0.0;2025-02-10 19:54:04.359066;1739217244.359066;131576;0
15;2025-02-10 19:54:04.365653;1739217244.365653;0.3;0.0;2025-02-10 19:54:04.526987;1739217244.526987;131448;0
16;2025-02-10 19:54:04.534314;1739217244.534314;0.3;0.0;2025-02-10 19:54:04.694872;1739217244.694872;131544;0
17;2025-02-10 19:54:04.699300;1739217244.6993;0.3;0.0;2025-02-10 19:54:04.860293;1739217244.860293;131548;0
18;2025-02-10 19:54:04.867165;1739217244.867165;0.3;0.0;2025-02-10 19:54:05.029143;1739217245.029143;131456;0
19;2025-02-10 19:54:05.034246;1739217245.034246;0.3;0.0;2025-02-10 19:54:05.195351;1739217245.195351;131568;0
20;2025-02-10 19:54:05.200692;1739217245.200692;0.3;0.0;2025-02-10 19:54:05.362778;1739217245.362778;131604;0
21;2025-02-10 19:54:05.368668;1739217245.368668;0.3;0.0;2025-02-10 19:54:05.528927;1739217245.528927;131560;0
22;2025-02-10 19:54:05.534038;1739217245.534038;0.3;0.0;2025-02-10 19:54:05.696444;1739217245.696444;131644;0
23;2025-02-10 19:54:05.701291;1739217245.701291;0.3;0.0;2025-02-10 19:54:05.863760;1739217245.86376;131576;0
24;2025-02-10 19:54:05.869005;1739217245.869005;0.3;0.0;2025-02-10 19:54:06.032258;1739217246.032258;131524;0
25;2025-02-10 19:54:06.037832;1739217246.037832;0.3;0.0;2025-02-10 19:54:06.200260;1739217246.20026;131512;0
26;2025-02-10 19:54:06.205252;1739217246.205252;0.3;0.0;2025-02-10 19:54:06.369827;1739217246.369827;131632;0
27;2025-02-10 19:54:06.374134;1739217246.374134;0.3;0.0;2025-02-10 19:54:06.534630;1739217246.53463;131684;0
28;2025-02-10 19:54:06.539907;1739217246.539907;0.3;0.0;2025-02-10 19:54:06.702359;1739217246.702359;131708;0
29;2025-02-10 19:54:06.706988;1739217246.706988;0.3;0.0;2025-02-10 19:54:06.867541;1739217246.867541;131680;0
30;2025-02-10 19:54:06.873319;1739217246.873319;0.3;0.0;2025-02-10 19:54:07.033770;1739217247.03377;131680;0
31;2025-02-10 19:54:07.038787;1739217247.038787;0.3;0.0;2025-02-10 19:54:07.199766;1739217247.199766;131732;0
32;2025-02-10 19:54:07.204026;1739217247.204026;0.3;0.0;2025-02-10 19:54:07.367891;1739217247.367891;131600;0
33;2025-02-10 19:54:07.377010;1739217247.37701;0.3;0.0;2025-02-10 19:54:07.539811;1739217247.539811;131652;0
34;2025-02-10 19:54:07.543759;1739217247.543759;0.3;0.0;2025-02-10 19:54:07.704950;1739217247.70495;131664;0
35;2025-02-10 19:54:07.708683;1739217247.708683;0.3;0.0;2025-02-10 19:54:07.871005;1739217247.871005;131720;0
36;2025-02-10 19:54:07.875181;1739217247.875181;0.3;0.0;2025-02-10 19:54:08.043998;1739217248.043998;131692;0
37;2025-02-10 19:54:08.048485;1739217248.048485;0.3;0.0;2025-02-10 19:54:08.208951;1739217248.208951;131664;0
38;2025-02-10 19:54:08.214249;1739217248.214249;0.3;0.0;2025-02-10 19:54:08.375458;1739217248.375458;131772;0
39;2025-02-10 19:54:08.380310;1739217248.38031;0.3;0.0;2025-02-10 19:54:08.542221;1739217248.542221;131736;0
40;2025-02-10 19:54:08.546507;1739217248.546507;0.3;0.0;2025-02-10 19:54:08.708088;1739217248.708088;131720;0
41;2025-02-10 19:54:08.713602;1739217248.713602;0.3;0.0;2025-02-10 19:54:08.874892;1739217248.874892;131756;0
42;2025-02-10 19:54:08.880454;1739217248.880454;0.3;0.0;2025-02-10 19:54:09.042517;1739217249.042517;131740;0
43;2025-02-10 19:54:09.046903;1739217249.046903;0.3;0.0;2025-02-10 19:54:09.207368;1739217249.207368;131616;0
44;2025-02-10 19:54:09.213343;1739217249.213343;0.3;0.0;2025-02-10 19:54:09.374718;1739217249.374718;131452;0
45;2025-02-10 19:54:09.383716;1739217249.383716;0.3;0.0;2025-02-10 19:54:09.548153;1739217249.548153;131604;0
46;2025-02-10 19:54:09.554064;1739217249.554064;0.3;0.0;2025-02-10 19:54:09.714015;1739217249.714015;131548;0
47;2025-02-10 19:54:09.718553;1739217249.718553;0.3;0.0;2025-02-10 19:54:09.880202;1739217249.880202;131480;0
48;2025-02-10 19:54:09.885018;1739217249.885018;0.3;0.0;2025-02-10 19:54:10.046581;1739217250.046581;131592;0
49;2025-02-10 19:54:10.051309;1739217250.051309;0.3;0.0;2025-02-10 19:54:10.211707;1739217250.211707;131496;0
50;2025-02-10 19:54:10.217860;1739217250.21786;0.3;0.0;2025-02-10 19:54:10.380851;1739217250.380851;131564;0
51;2025-02-10 19:54:10.386816;1739217250.386816;0.3;0.0;2025-02-10 19:54:10.549870;1739217250.54987;131520;0
52;2025-02-10 19:54:10.554723;1739217250.554723;0.3;0.0;2025-02-10 19:54:10.715512;1739217250.715512;131508;0
53;2025-02-10 19:54:10.720515;1739217250.720515;0.3;0.0;2025-02-10 19:54:10.885007;1739217250.885007;131600;0
54;2025-02-10 19:54:10.890739;1739217250.890739;0.3;0.0;2025-02-10 19:54:11.051734;1739217251.051734;131596;0
55;2025-02-10 19:54:11.055899;1739217251.055899;0.3;0.0;2025-02-10 19:54:11.221839;1739217251.221839;131640;0
56;2025-02-10 19:54:11.230799;1739217251.230799;0.3;0.0;2025-02-10 19:54:11.392206;1739217251.392206;131760;0
57;2025-02-10 19:54:11.397269;1739217251.397269;0.3;0.0;2025-02-10 19:54:11.557833;1739217251.557833;131708;0
58;2025-02-10 19:54:11.563398;1739217251.563398;0.3;0.0;2025-02-10 19:54:11.723888;1739217251.723888;131540;0
59;2025-02-10 19:54:11.730342;1739217251.730342;0.3;0.0;2025-02-10 19:54:11.893769;1739217251.893769;131676;0
60;2025-02-10 19:54:11.898847;1739217251.898847;0.3;0.0;2025-02-10 19:54:12.059779;1739217252.059779;131732;0
61;2025-02-10 19:54:12.063684;1739217252.063684;0.3;0.0;2025-02-10 19:54:12.223867;1739217252.223867;131660;0
62;2025-02-10 19:54:12.227899;1739217252.227899;0.3;0.0;2025-02-10 19:54:12.389444;1739217252.389444;131696;0
63;2025-02-10 19:54:12.395816;1739217252.395816;0.3;0.0;2025-02-10 19:54:12.559914;1739217252.559914;131664;0
64;2025-02-10 19:54:12.571159;1739217252.571159;0.3;0.0;2025-02-10 19:54:12.730907;1739217252.730907;131776;0
65;2025-02-10 19:54:12.734467;1739217252.734467;0.3;0.0;2025-02-10 19:54:12.893122;1739217252.893122;131672;0
66;2025-02-10 19:54:12.897056;1739217252.897056;0.3;0.0;2025-02-10 19:54:13.056038;1739217253.056038;131800;0
67;2025-02-10 19:54:13.058841;1739217253.058841;0.3;0.0;2025-02-10 19:54:13.215910;1739217253.21591;131836;0
68;2025-02-10 19:54:13.219124;1739217253.219124;0.3;0.0;2025-02-10 19:54:13.377120;1739217253.37712;131828;0
69;2025-02-10 19:54:13.382650;1739217253.38265;0.3;0.0;2025-02-10 19:54:13.545401;1739217253.545401;131788;0
70;2025-02-10 19:54:13.551330;1739217253.55133;0.3;0.0;2025-02-10 19:54:13.711664;1739217253.711664;131820;0
71;2025-02-10 19:54:13.716444;1739217253.716444;0.3;0.0;2025-02-10 19:54:13.876474;1739217253.876474;131660;0
72;2025-02-10 19:54:13.880637;1739217253.880637;0.3;0.0;2025-02-10 19:54:14.039273;1739217254.039273;131712;0
73;2025-02-10 19:54:14.044720;1739217254.04472;0.3;0.0;2025-02-10 19:54:14.207558;1739217254.207558;131780;0
74;2025-02-10 19:54:14.212099;1739217254.212099;0.3;0.0;2025-02-10 19:54:14.375961;1739217254.375961;131752;0
75;2025-02-10 19:54:14.380330;1739217254.38033;0.3;0.0;2025-02-10 19:54:14.543547;1739217254.543547;131752;0
76;2025-02-10 19:54:14.550428;1739217254.550428;0.3;0.0;2025-02-10 19:54:14.710996;1739217254.710996;131640;0
77;2025-02-10 19:54:14.716412;1739217254.716412;0.3;0.0;2025-02-10 19:54:14.877135;1739217254.877135;131628;0
78;2025-02-10 19:54:14.879691;1739217254.879691;0.3;0.0;2025-02-10 19:54:15.039135;1739217255.039135;131760;0
79;2025-02-10 19:54:15.042783;1739217255.042783;0.3;0.0;2025-02-10 19:54:15.201364;1739217255.201364;131652;0
80;2025-02-10 19:54:15.206899;1739217255.206899;0.3;0.0;2025-02-10 19:54:15.368391;1739217255.368391;131724;0
81;2025-02-10 19:54:15.373235;1739217255.373235;0.3;0.0;2025-02-10 19:54:15.531973;1739217255.531973;131660;0
82;2025-02-10 19:54:15.534692;1739217255.534692;0.3;0.0;2025-02-10 19:54:15.692354;1739217255.692354;131688;0
83;2025-02-10 19:54:15.698937;1739217255.698937;0.3;0.0;2025-02-10 19:54:15.858685;1739217255.858685;131676;0
84;2025-02-10 19:54:15.861905;1739217255.861905;0.3;0.0;2025-02-10 19:54:16.019310;1739217256.01931;131652;0
85;2025-02-10 19:54:16.022121;1739217256.022121;0.3;0.0;2025-02-10 19:54:16.180615;1739217256.180615;131668;0
86;2025-02-10 19:54:16.185030;1739217256.18503;0.3;0.0;2025-02-10 19:54:16.347880;1739217256.34788;131700;0
87;2025-02-10 19:54:16.351719;1739217256.351719;0.3;0.0;2025-02-10 19:54:16.508852;1739217256.508852;131724;0
88;2025-02-10 19:54:16.515260;1739217256.51526;0.3;0.0;2025-02-10 19:54:16.676318;1739217256.676318;131636;0
89;2025-02-10 19:54:16.680691;1739217256.680691;0.3;0.0;2025-02-10 19:54:16.841993;1739217256.841993;131612;0
90;2025-02-10 19:54:16.845623;1739217256.845623;0.3;0.0;2025-02-10 19:54:17.009395;1739217257.009395;131596;0
91;2025-02-10 19:54:17.012974;1739217257.012974;0.3;0.0;2025-02-10 19:54:17.173819;1739217257.173819;131624;0
92;2025-02-10 19:54:17.178491;1739217257.178491;0.3;0.0;2025-02-10 19:54:17.339866;1739217257.339866;131644;0
93;2025-02-10 19:54:17.343030;1739217257.34303;0.3;0.0;2025-02-10 19:54:17.502268;1739217257.502268;131704;0
94;2025-02-10 19:54:17.505736;1739217257.505736;0.3;0.0;2025-02-10 19:54:17.670208;1739217257.670208;131716;0
95;2025-02-10 19:54:17.674577;1739217257.674577;0.3;0.0;2025-02-10 19:54:17.837456;1739217257.837456;131672;0
96;2025-02-10 19:54:17.846275;1739217257.846275;0.3;0.0;2025-02-10 19:54:18.009566;1739217258.009566;131888;0
97;2025-02-10 19:54:18.012556;1739217258.012556;0.3;0.0;2025-02-10 19:54:18.173638;1739217258.173638;131700;0
98;2025-02-10 19:54:18.178251;1739217258.178251;0.3;0.0;2025-02-10 19:54:18.340464;1739217258.340464;131696;0
99;2025-02-10 19:54:18.344684;1739217258.344684;0.3;0.0;2025-02-10 19:54:18.506724;1739217258.506724;131624;0
100;2025-02-10 19:54:18.510889;1739217258.510889;0.3;0.0;2025-02-10 19:54:18.676351;1739217258.676351;131656;0
101;2025-02-10 19:54:18.685998;1739217258.685998;0.3;0.0;2025-02-10 19:54:18.850189;1739217258.850189;131716;0
102;2025-02-10 19:54:18.856401;1739217258.856401;0.3;0.0;2025-02-10 19:54:19.020644;1739217259.020644;131720;0
103;2025-02-10 19:54:19.024847;1739217259.024847;0.3;0.0;2025-02-10 19:54:19.188715;1739217259.188715;131660;0
104;2025-02-10 19:54:19.196629;1739217259.196629;0.3;0.0;2025-02-10 19:54:19.359327;1739217259.359327;131680;0
105;2025-02-10 19:54:19.365282;1739217259.365282;0.3;0.0;2025-02-10 19:54:19.530153;1739217259.530153;131620;0
106;2025-02-10 19:54:19.538347;1739217259.538347;0.3;0.0;2025-02-10 19:54:19.707859;1739217259.707859;131720;0
107;2025-02-10 19:54:19.714343;1739217259.714343;0.3;0.0;2025-02-10 19:54:19.878357;1739217259.878357;131684;0
108;2025-02-10 19:54:19.884193;1739217259.884193;0.3;0.0;2025-02-10 19:54:20.046835;1739217260.046835;131672;0
109;2025-02-10 19:54:20.055132;1739217260.055132;0.3;0.0;2025-02-10 19:54:20.219995;1739217260.219995;131684;0
110;2025-02-10 19:54:20.225731;1739217260.225731;0.3;0.0;2025-02-10 19:54:20.388893;1739217260.388893;131724;0
111;2025-02-10 19:54:20.394273;1739217260.394273;0.3;0.0;2025-02-10 19:54:20.557664;1739217260.557664;131688;0
112;2025-02-10 19:54:20.562815;1739217260.562815;0.3;0.0;2025-02-10 19:54:20.727381;1739217260.727381;131608;0
113;2025-02-10 19:54:20.734397;1739217260.734397;0.3;0.0;2025-02-10 19:54:20.897830;1739217260.89783;131672;0
114;2025-02-10 19:54:20.901860;1739217260.90186;0.3;0.0;2025-02-10 19:54:21.066211;1739217261.066211;131748;0
115;2025-02-10 19:54:21.070931;1739217261.070931;0.3;0.0;2025-02-10 19:54:21.234509;1739217261.234509;131856;0
116;2025-02-10 19:54:21.240348;1739217261.240348;0.3;0.0;2025-02-10 19:54:21.402521;1739217261.402521;131700;0
117;2025-02-10 19:54:21.407965;1739217261.407965;0.3;0.0;2025-02-10 19:54:21.570629;1739217261.570629;131760;0
